# CREATED BY GENE DIAGNOSTICS TOOL on Wed Aug  1 11:48:41 2018
# diag: fluxprof, run(s): act, time window: 0-500(79 steps), species: ions
# original data path: /r/c/cmor/IFERC/W7Xsds05/ITGa/scanomn0omt1/
# normalization: L_ref=1.65m
#
#  x/a        G_es,p      Q_es,p      Q*dVdx/MW 
  6.7194E+01 -1.6276E-19  4.3466E-01  2.3309E-01
  6.7873E+01  1.7485E-19  4.2175E-01  2.2617E-01
  6.8552E+01 -5.0246E-19  4.1007E-01  2.1991E-01
  6.9231E+01 -2.0092E-19  3.9876E-01  2.1384E-01
  6.9909E+01 -7.2040E-19  3.8861E-01  2.0840E-01
  7.0588E+01 -5.4074E-19  3.8197E-01  2.0484E-01
  7.1267E+01 -2.8331E-19  3.8010E-01  2.0383E-01
  7.1946E+01 -4.7394E-19  3.8329E-01  2.0555E-01
  7.2624E+01 -1.2237E-19  3.9056E-01  2.0944E-01
  7.3303E+01  6.4892E-20  3.9906E-01  2.1400E-01
  7.3982E+01 -1.6845E-19  4.0696E-01  2.1824E-01
  7.4660E+01 -4.0596E-19  4.1354E-01  2.2177E-01
  7.5339E+01 -2.3885E-19  4.1706E-01  2.2365E-01
  7.6018E+01 -2.1066E-19  4.1550E-01  2.2282E-01
  7.6697E+01 -4.1984E-19  4.1003E-01  2.1988E-01
  7.7375E+01 -2.5737E-19  4.0255E-01  2.1587E-01
  7.8054E+01 -2.2472E-19  3.9575E-01  2.1223E-01
  7.8733E+01 -2.2960E-19  3.9045E-01  2.0939E-01
  7.9412E+01 -3.6268E-19  3.8596E-01  2.0698E-01
  8.0090E+01 -2.5772E-19  3.8093E-01  2.0428E-01
  8.0769E+01 -3.6372E-19  3.7587E-01  2.0157E-01
  8.1448E+01 -4.3587E-20  3.7330E-01  2.0019E-01
  8.2127E+01 -2.5163E-19  3.7697E-01  2.0216E-01
  8.2805E+01 -1.1291E-19  3.8843E-01  2.0830E-01
  8.3484E+01 -9.8243E-20  4.0387E-01  2.1658E-01
  8.4163E+01  6.4237E-20  4.1579E-01  2.2297E-01
  8.4841E+01  1.2310E-19  4.1602E-01  2.2310E-01
  8.5520E+01 -1.4811E-19  4.0341E-01  2.1634E-01
  8.6199E+01  4.8488E-20  3.8155E-01  2.0461E-01
  8.6878E+01  2.4772E-19  3.5656E-01  1.9121E-01
  8.7556E+01  8.6122E-20  3.3447E-01  1.7936E-01
  8.8235E+01  1.4870E-19  3.1870E-01  1.7091E-01
  8.8914E+01  2.3452E-19  3.0968E-01  1.6607E-01
  8.9593E+01  1.5944E-19  3.0579E-01  1.6398E-01
  9.0271E+01 -1.8642E-20  3.0525E-01  1.6370E-01
  9.0950E+01  6.0792E-20  3.0660E-01  1.6442E-01
  9.1629E+01 -1.3717E-19  3.0909E-01  1.6575E-01
  9.2308E+01  3.0768E-21  3.1313E-01  1.6792E-01
  9.2986E+01 -5.6910E-20  3.1908E-01  1.7111E-01
  9.3665E+01 -3.6100E-19  3.2711E-01  1.7542E-01
  9.4344E+01 -1.3263E-19  3.3597E-01  1.8017E-01
  9.5022E+01 -1.4463E-19  3.4438E-01  1.8468E-01
  9.5701E+01 -2.4503E-20  3.5179E-01  1.8866E-01
  9.6380E+01 -9.1342E-20  3.5823E-01  1.9211E-01
  9.7059E+01 -1.3628E-19  3.6448E-01  1.9546E-01
  9.7737E+01  1.9163E-19  3.7260E-01  1.9981E-01
  9.8416E+01  2.7493E-19  3.8197E-01  2.0484E-01
  9.9095E+01  2.8021E-20  3.8917E-01  2.0870E-01
  9.9774E+01 -2.7884E-19  3.8987E-01  2.0907E-01
  1.0045E+02  9.6609E-20  3.8051E-01  2.0405E-01
  1.0113E+02 -9.4612E-20  3.6227E-01  1.9427E-01
  1.0181E+02  1.6335E-19  3.4077E-01  1.8274E-01
  1.0249E+02  3.5406E-20  3.2164E-01  1.7249E-01
  1.0317E+02 -1.7807E-19  3.0781E-01  1.6507E-01
  1.0385E+02  8.6265E-20  3.0177E-01  1.6183E-01
  1.0452E+02  1.2984E-19  3.0300E-01  1.6249E-01
