# CREATED BY GENE DIAGNOSTICS TOOL on Sun Jan 20 13:22:02 2019
# diag: fluxspectra, run(s): act, time window: 0-8.5(121 steps), species: ions
# original data path: /ptmp/cmor/S-a/q0-1.7/ITGa_NL/omt10/
# normalization: R_0
#
# Q*dVdx =   9.4149E+01 MW
# G*dVdx =   1.5172E-09 MW/keV
# P*dVdx =   3.0207E+00 J
#  kx         G_es,p      Q_es,p      P_es,p    
  1.2500E+00 -2.6489E-10  2.4146E+00  1.1420E-02
  1.3000E+00  4.3441E-12  2.2227E+00  2.0440E-02
  1.3500E+00 -1.0519E-10  2.1628E+00  1.7141E-02
  1.4000E+00 -9.7743E-11  2.2478E+00  1.3781E-02
  1.4500E+00 -1.6887E-10  2.3204E+00  1.7386E-02
  1.5000E+00 -6.3916E-11  2.4539E+00  3.1944E-03
  1.5500E+00 -5.2582E-11  2.6057E+00  3.0250E-02
  1.6000E+00 -2.5969E-12  2.6372E+00  4.7917E-03
  1.6500E+00 -8.3072E-11  2.6726E+00  1.2012E-02
  1.7000E+00 -2.2912E-11  2.5290E+00  1.5574E-02
  1.7500E+00  2.0867E-11  2.3914E+00  1.0179E-03
  1.8000E+00  7.3141E-11  2.1387E+00  4.1279E-03
  1.8500E+00 -3.8291E-11  1.9278E+00  1.2563E-02
  1.9000E+00 -2.2496E-11  1.6925E+00  1.3292E-02
  1.9500E+00  4.8260E-11  1.4998E+00  1.3443E-02
  2.0000E+00 -3.0776E-12  1.3468E+00  1.0808E-02
  2.0500E+00  8.4852E-12  1.2787E+00  1.0437E-02
  2.1000E+00  2.2818E-11  1.3077E+00  3.6611E-02
  2.1500E+00  2.8459E-11  1.3452E+00  1.1141E-02
  2.2000E+00  5.0856E-13  1.4653E+00  2.6864E-02
  2.2500E+00 -1.1594E-10  1.5844E+00  2.0090E-02
  2.3000E+00 -2.9651E-12  1.7103E+00  2.8280E-02
  2.3500E+00  7.3771E-11  1.8247E+00  3.5192E-02
  2.4000E+00  3.1440E-11  1.8743E+00  3.9754E-02
  2.4500E+00  8.6996E-11  1.8838E+00  2.7418E-02
  2.5000E+00 -5.2578E-11  1.8380E+00  3.6771E-02
  2.5500E+00  1.2628E-11  1.7556E+00  3.2699E-02
  2.6000E+00  9.9520E-12  1.6311E+00  2.7395E-02
  2.6500E+00  2.1875E-11  1.5075E+00  9.5564E-03
  2.7000E+00 -4.4188E-11  1.4117E+00  6.6222E-03
  2.7500E+00 -3.0018E-11  1.3271E+00  5.8180E-03
  2.8000E+00 -1.4467E-11  1.2610E+00  1.5262E-02
  2.8500E+00  1.1759E-10  1.2704E+00  3.0884E-02
  2.9000E+00  7.9286E-11  1.3247E+00  6.9025E-02
  2.9500E+00 -2.9225E-11  1.4015E+00  7.8385E-02
  3.0000E+00  5.5649E-11  1.5187E+00  7.6259E-02
  3.0500E+00  3.4650E-10  1.6494E+00  7.2967E-02
  3.1000E+00 -5.5563E-11  1.8916E+00  3.5254E-02
  3.1500E+00 -1.7887E-09  2.4722E+00  2.1390E-02
